station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
BIF,2026-02-10 00:55,-106.3800,31.8495,1203.00,65.00,40.60,40.78,140.00,3.00,0.00,30.06,1015.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,65.00,KBIF 100055Z AUTO 14003KT 10SM CLR 18/05 A3006 RMK AO2 SLP150 T01830048 $,M
BIF,2026-02-10 01:55,-106.3800,31.8495,1203.00,64.40,41.40,42.96,190.00,3.00,0.00,30.07,1015.60,10.00,M,BKN,M,M,M,20000.00,M,M,M,M,M,M,M,M,M,M,64.40,KBIF 100155Z AUTO 19003KT 10SM BKN200 18/05 A3007 RMK AO2 SLP156 T01800052 $,M
BIF,2026-02-10 02:55,-106.3800,31.8495,1203.00,61.00,41.00,47.67,180.00,6.00,0.00,30.09,1016.60,10.00,M,FEW,M,M,M,18000.00,M,M,M,M,M,M,M,M,M,M,61.00,KBIF 100255Z AUTO 18006KT 10SM FEW180 16/05 A3009 RMK AO2 SLP166 T01610051 53008 $,M
BIF,2026-02-10 03:55,-106.3800,31.8495,1203.00,55.60,40.00,55.65,0.00,0.00,0.00,30.08,1016.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.60,KBIF 100355Z AUTO 00000KT 10SM CLR 13/05 A3008 RMK AO2 SLP160 T01310045 $,M
BIF,2026-02-10 04:55,-106.3800,31.8495,1203.00,58.00,40.60,52.23,90.00,5.00,0.00,30.08,1015.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,58.00,KBIF 100455Z AUTO 09005KT 10SM CLR 15/05 A3008 RMK AO2 SLP154 T01450048 $,M
BIF,2026-02-10 05:55,-106.3800,31.8495,1203.00,56.70,41.00,55.59,150.00,6.00,0.00,30.07,1014.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,56.70,KBIF 100555Z AUTO 15006KT 10SM CLR 14/05 A3007 RMK AO2 SLP145 T01370051 10206 20129 402120023 56004 $,M
BIF,2026-02-10 06:55,-106.3800,31.8495,1203.00,56.30,43.00,60.92,140.00,8.00,0.00,30.05,1013.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,56.30,KBIF 100655Z AUTO 14008KT 10SM CLR 14/06 A3005 RMK AO2 SLP135 T01350061 $,M
BIF,2026-02-10 07:55,-106.3800,31.8495,1203.00,55.40,45.00,67.94,120.00,9.00,0.00,30.03,1012.60,10.00,M,OVC,M,M,M,15000.00,M,M,M,M,M,M,M,M,M,M,55.40,KBIF 100755Z AUTO 12009KT 10SM OVC150 13/07 A3003 RMK AO2 SLP126 T01300072 $,M
BIF,2026-02-10 08:55,-106.3800,31.8495,1203.00,54.30,45.00,70.72,220.00,4.00,0.00,30.04,1012.90,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,54.30,KBIF 100855Z AUTO 22004KT 10SM CLR 12/07 A3004 RMK AO2 SLP129 T01240073 55010 $,M
BIF,2026-02-10 09:55,-106.3800,31.8495,1203.00,57.00,45.70,65.85,160.00,9.00,0.00,30.07,1013.70,10.00,M,OVC,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,57.00,KBIF 100955Z AUTO 16009KT 10SM OVC120 14/08 A3007 RMK AO2 SLP137 T01380076 $,M
BIF,2026-02-10 10:55,-106.3800,31.8495,1203.00,56.00,45.50,67.75,140.00,4.00,0.00,30.05,1013.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,56.00,KBIF 101055Z AUTO 14004KT 10SM CLR 13/08 A3005 RMK AO2 SLP130 T01330075 $,M
BIF,2026-02-10 11:55,-106.3800,31.8495,1203.00,56.30,46.20,68.82,130.00,8.00,0.00,30.05,1013.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,56.30,KBIF 101155Z AUTO 13008KT 10SM CLR 14/08 A3005 RMK AO2 SLP130 T01350079 10143 20121 50003 $,M
BIF,2026-02-10 12:55,-106.3800,31.8495,1203.00,55.20,45.70,70.28,140.00,6.00,0.00,30.08,1014.30,10.00,M,SCT,M,M,M,14000.00,M,M,M,M,M,M,M,M,M,M,55.20,KBIF 101255Z AUTO 14006KT 10SM SCT140 13/08 A3008 RMK AO2 SLP143 T01290076 $,M
BIF,2026-02-10 13:55,-106.3800,31.8495,1203.00,53.00,45.50,75.59,0.00,0.00,0.00,30.07,1014.20,10.00,M,BKN,M,M,M,15000.00,M,M,M,M,M,M,M,M,M,M,53.00,KBIF 101355Z AUTO 00000KT 10SM BKN150 12/08 A3007 RMK AO2 SLP142 T01160075 $,M
BIF,2026-02-10 14:55,-106.3800,31.8495,1203.00,52.30,45.00,76.10,170.00,3.00,0.00,30.08,1014.90,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,52.30,KBIF 101455Z AUTO 17003KT 10SM CLR 11/07 A3008 RMK AO2 SLP149 T01130072 50010 $,M
BIF,2026-02-10 15:55,-106.3800,31.8495,1203.00,56.00,46.60,70.64,110.00,5.00,0.00,30.10,1015.80,10.00,M,FEW,M,M,M,16000.00,M,M,M,M,M,M,M,M,M,M,56.00,KBIF 101555Z AUTO 11005KT 10SM FEW160 13/08 A3010 RMK AO2 SLP158 T01330081 $,M
BIF,2026-02-10 16:55,-106.3800,31.8495,1203.00,58.50,47.50,66.78,0.00,0.00,0.00,30.13,1016.30,10.00,M,FEW,M,M,M,14000.00,M,M,M,M,M,M,M,M,M,M,58.50,KBIF 101655Z AUTO 00000KT 10SM FEW140 15/09 A3013 RMK AO2 SLP163 T01470086 $,M
BIF,2026-02-10 17:55,-106.3800,31.8495,1203.00,63.50,44.60,50.12,190.00,6.00,0.00,30.11,1015.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,63.50,KBIF 101755Z AUTO 19006KT 10SM CLR 18/07 A3011 RMK AO2 SLP153 T01750070 10176 20105 50008 $,M
BIF,2026-02-10 18:55,-106.3800,31.8495,1203.00,67.00,42.40,40.79,200.00,6.00,0.00,30.09,1014.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,67.00,KBIF 101855Z AUTO 20006KT 10SM CLR 19/06 A3009 RMK AO2 SLP146 T01940058 $,M
BIF,2026-02-10 19:55,-106.3800,31.8495,1203.00,68.50,42.00,38.15,0.00,0.00,0.00,30.04,1012.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.50,KBIF 101955Z AUTO 00000KT 10SM CLR 20/06 A3004 RMK AO2 SLP126 T02030055 $,M
BIF,2026-02-11 02:55,-106.3800,31.8495,1203.00,63.70,36.00,35.63,100.00,9.00,0.00,30.12,1016.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,63.70,KBIF 110255Z AUTO 10009KT 10SM CLR 18/02 A3012 RMK AO2 SLP160 T01760023 52023 $,M
BIF,2026-02-11 03:55,-106.3800,31.8495,1203.00,61.00,35.40,38.27,200.00,5.00,0.00,30.15,1017.00,10.00,M,FEW,M,M,M,19000.00,M,M,M,M,M,M,M,M,M,M,61.00,KBIF 110355Z AUTO 20005KT 10SM FEW190 16/02 A3015 RMK AO2 SLP170 T01620019 $,M
BIF,2026-02-11 05:55,-106.3800,31.8495,1203.00,59.00,35.80,41.75,0.00,0.00,0.00,30.19,1018.10,10.00,M,BKN,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,59.00,KBIF 110555Z AUTO 00000KT 10SM BKN095 15/02 A3019 RMK AO2 SLP181 T01490021 10214 20149 402240105 52020 $,M
BIF,2026-02-11 06:55,-106.3800,31.8495,1203.00,58.50,42.30,54.79,0.00,0.00,0.00,30.20,1018.20,10.00,M,BKN,BKN,M,M,10000.00,25000.00,M,M,M,M,M,M,M,M,M,58.50,KBIF 110655Z AUTO 00000KT 10SM BKN100 BKN250 15/06 A3020 RMK AO2 SLP182 T01470057 $,M
BIF,2026-02-11 07:55,-106.3800,31.8495,1203.00,58.00,45.30,62.56,180.00,3.00,0.00,30.20,1018.20,10.00,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,58.00,KBIF 110755Z AUTO 18003KT 10SM FEW100 14/07 A3020 RMK AO2 SLP182 T01440074 $,M
BIF,2026-02-11 08:55,-106.3800,31.8495,1203.00,56.00,45.30,67.24,0.00,0.00,0.00,30.20,1018.20,10.00,M,SCT,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,56.00,KBIF 110855Z AUTO 00000KT 10SM SCT100 13/07 A3020 RMK AO2 SLP182 T01340074 51003 $,M
BIF,2026-02-11 09:55,-106.3800,31.8495,1203.00,55.00,45.70,70.79,0.00,0.00,0.00,30.19,1017.50,10.00,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,55.00,KBIF 110955Z AUTO 00000KT 10SM FEW100 13/08 A3019 RMK AO2 SLP175 T01270076 $,M
BIF,2026-02-11 10:55,-106.3800,31.8495,1203.00,51.40,44.40,76.89,240.00,6.00,0.00,30.18,1017.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.40,KBIF 111055Z AUTO 24006KT 10SM CLR 11/07 A3018 RMK AO2 SLP175 T01080069 $,M
BIF,2026-02-11 11:55,-106.3800,31.8495,1203.00,51.40,43.70,74.86,250.00,3.00,0.00,30.18,1017.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.40,KBIF 111155Z AUTO 25003KT 10SM CLR 11/07 A3018 RMK AO2 SLP177 T01080065 10152 20103 55005 $,M
BIF,2026-02-11 12:55,-106.3800,31.8495,1203.00,51.40,44.00,75.72,170.00,6.00,0.00,30.20,1018.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.40,KBIF 111255Z AUTO 17006KT 10SM CLR 11/07 A3020 RMK AO2 SLP184 T01080067 $,M
BIF,2026-02-11 13:55,-106.3800,31.8495,1203.00,52.00,42.60,70.19,140.00,7.00,0.00,30.22,1019.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,52.00,KBIF 111355Z AUTO 14007KT 10SM CLR 11/06 A3022 RMK AO2 SLP194 T01120059 $,M
BIF,2026-02-11 14:55,-106.3800,31.8495,1203.00,53.20,43.00,68.20,140.00,3.00,0.00,30.23,1019.80,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.20,KBIF 111455Z AUTO 14003KT 9SM CLR 12/06 A3023 RMK AO2 SLP198 T01180061 52016 $,M
