pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
879.0,1252.0,11.6,7.7,125.0,7.0,-5.734064310022942,4.015035054457323,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
854.0,1499.0,14.3,4.9,165.0,11.0,-2.8470094961277312,10.62518408917975,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
851.0,1529.0,14.6,4.6,176.0,10.0,-0.6975647374412552,9.975640502598242,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
850.0,1539.0,14.6,4.6,180.0,10.0,-1.2246467991473533e-15,10.0,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
842.0,1619.0,14.4,3.4,187.0,11.0,1.3405627774566204,10.918007668054543,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
839.0,1649.0,14.3,3.3,190.0,11.0,1.9101299543362351,10.832885283134289,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
827.0,1771.0,13.8,2.8,198.0,10.0,3.0901699437494727,9.510565162951536,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
824.0,1801.0,13.6,2.7,200.0,10.0,3.4202014332566866,9.396926207859085,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
806.0,1983.0,12.0,2.0,185.0,4.0,0.3486229709906318,3.984778792366982,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
795.0,2097.0,11.1,1.6,190.0,7.0,1.2155372436685132,6.893654271085456,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
783.0,2223.0,10.0,1.1,180.0,9.0,-1.102182119232618e-15,9.0,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
760.0,2469.0,7.9,0.1,190.0,7.0,1.2155372436685132,6.893654271085456,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
727.0,2836.0,4.8,-1.3,155.0,2.0,-0.845236523481399,1.8126155740732999,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
717.0,2951.0,3.9,-1.7,160.0,2.0,-0.6840402866513378,1.8793852415718166,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
706.0,3078.0,2.8,-2.2,160.0,4.0,-1.3680805733026755,3.7587704831436333,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
700.0,3149.0,2.2,-2.5,165.0,3.0,-0.7764571353075631,2.8977774788672046,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
